"Name","Purpose","Quantity","Total Cost (USD)","Link","Distributor","","","","","","","","","",""
"PCB(moq5)","The Main Board","5","7.70","https://jlcpcb.com/","JLC PCB","","","","","","","","","",""
"RP2040-Zero (left side)","Micro Controller","1","4.43","https://robu.in/product/waveshare-rp2040-zero-without-header/","Robu","","","","","","","","","",""
"RP2040-Tiny (right side)","Micro Controller","1","6.26","https://robu.in/product/waveshare-rp2350-tiny-development-board-based-on-rp2350a-dual-core-dual-architecture-microcontroller/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWfMmG_4cBVpxgNEEXfCiOFrF&gclid=CjwKCAjwpK3SBhASEiwAtV1SPJrBF3sV-JAP5m2gTerZJ6Riy5xOkoX3tXxzK_EEo8mEBhyrUuSYEhoCxZoQAvD_BwE","Robu","","","","","","","","","",""
"Kailh Choc v2 Low Profile Switches","The switches to press","40","25","https://neomacro.in/products/kailh-choc-v2-low-profile-switches?variant=51316563345686","Neomacro","","","","","","","","","",""
"Kailh Choc PG1350 Hot Swap Sockets","To put the switches","40","7","https://neomacro.in/products/kailh-choc-pg1350-hot-swap-sockets","Neomacro","","","","","","","","","",""
"CFX MX Low Profile Keycaps","For the Switches","1","26.3","https://neomacro.in/products/cfx-mx-low-profile-keycaps","Neomacro","","","","","","","","","",""
"1N4148 SOD-123 SMD Diode","For the PCB Board","40","1","https://stackskb.com/store/1n4148-sod-123-smd-diode/?srsltid=AfmBOooo4zZ2FHq_nIucF0OJiEtuzsTc2tOnpuoy_xhe-UcQ5pIkwrEd","Stackskb","","","","","","","","","",""
"PJ-320A TRRS Jack","For the Wire Connection","2","1","https://stackskb.com/store/pj-320a-jack/","Stackskb","","","","","","","","","",""
"M2×3 heat-set threaded inserts","For fixing the case","20","0.4","https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts?srsltid=AfmBOorVSTwK3G5H08PBTqA47STmoCIWA4xz0boRvR8ihsL0Kdnwk8F5","Onlyscrews","","","","","","","","","",""
"M2×5 countersunk screws","For fixing the case","20","0.6","https://onlyscrews.in/products/m2-5-x-16mm-phillips-csk-ss-304-screw-dia-2-5mm-length-16mm?currency=INR&country=IN&variant=51158557393209&stkn=6e84ebfba1b8&utm_source=google&utm_medium=cpc&utm_campaign=sales_pmax&utm_id=23949204632&utm_term={adgroup}&gad_source=1&gad_campaignid=23953886635&gbraid=0AAAAA9sP2STwTW01fCxMnAJNjH3poMXxs&gclid=CjwKCAjwpK3SBhASEiwAtV1SPAjy69mRkSBp_vrUqPKL9_t7nT_D9hi1XdFlchSsnUIymW6eQlEjZhoCIz4QAvD_BwE","Onlyscrews","","","","","","","","","",""
"3.5mm TRRS to TRRS ","For the keyboard connection","1","4.8","https://www.amazon.in/IVON-3-5mm-Cable-Microphone-Compatible/dp/B0G2BPJMXV/ref=asc_df_B0G2BPJMXV?mcid=5a927b15325338dfaab07d284616b26d&tag=googleshopdes-21&linkCode=df0&hvadid=709962856313&hvpos=&hvnetw=g&hvrand=12409040854364914229&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9301294&hvtargid=pla-2469077957225&psc=1&hvocijid=12409040854364914229-B0G2BPJMXV-&hvexpln=0&gad_source=1","Amazon","","","","","","","","","",""
"type c to type c cable","For the micro controller","1","2","https://www.amazon.in/HAMMER-Braided-Chraging-Compatible-Enabled/dp/B0CXM7FCHC/ref=asc_df_B0CXM7FCHC?mcid=86690e5813223229bb0806b69069995d&tag=googleshopdes-21&linkCode=df0&hvadid=710073091892&hvpos=&hvnetw=g&hvrand=168727803120444090&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9301294&hvtargid=pla-2302558369595&hvocijid=168727803120444090-B0CXM7FCHC-&hvexpln=0&gad_source=1&th=1","Amazon","","","","","","","","","",""
"3d Print","For the Case","1","0","https://printlegion.hackclub.com/","#printing-legion","","","","","","","","","",""
"Shipping","including PCB shipping","","13.40","","","","","","","","","","","",""
"Total ","","","99.89","","","","","","","","","","","",""